family,offered_load,cascade_threshold,cascade_dwell_ticks,algorithm,cascade_depth,pdr,pdr_critical,total_links
scale_free,0.7,0.98,5,spf-reconverge,112.5,0.10135283808254826,0.1424442863402713,232.0
scale_free,0.7,0.98,5,spf-static,34.0,0.20409913572267518,0.22792776933199665,232.0
scale_free,0.7,0.98,10,cspf,99.0,0.15922244314325426,0.19989063214863598,232.0
scale_free,0.7,0.98,10,ecmp,95.0,0.17574121951963337,0.2464543676416067,232.0
scale_free,0.7,0.98,10,orbit,95.0,0.16903740460848216,0.2378092655950317,232.0
scale_free,0.7,0.98,10,spf-reconverge,112.0,0.14824342523158154,0.2317738547756763,232.0
scale_free,0.7,0.98,10,spf-static,34.0,0.21785875365162582,0.2534983649335809,232.0
scale_free,0.7,0.98,20,cspf,100.5,0.2308811292268294,0.31492011811885645,232.0
scale_free,0.7,0.98,20,ecmp,96.0,0.26239221345792246,0.41523676395308334,232.0
scale_free,0.7,0.98,20,orbit,98.0,0.24745810207583968,0.37449944617519576,232.0
scale_free,0.7,0.98,20,spf-reconverge,111.5,0.23723178312114312,0.40967310927379397,232.0
scale_free,0.7,0.98,20,spf-static,34.0,0.2448893045518516,0.30601173600635423,232.0
scale_free,0.7,0.98,40,cspf,70.0,0.45984834832728144,0.6687094153007254,232.0
scale_free,0.7,0.98,40,ecmp,78.0,0.430144439611764,0.7168215267601408,232.0
scale_free,0.7,0.98,40,orbit,75.5,0.44633819983550893,0.6998896502612464,232.0
scale_free,0.7,0.98,40,spf-reconverge,81.0,0.41110035811939294,0.7443591358893237,232.0
scale_free,0.7,0.98,40,spf-static,30.0,0.30559953595534817,0.4006227358744927,232.0
scale_free,0.7,1.0,1,cspf,100.0,0.08817025059645862,0.0907195696121682,232.0
scale_free,0.7,1.0,1,ecmp,100.0,0.09660086230736899,0.08703791066107222,232.0
scale_free,0.7,1.0,1,orbit,95.0,0.10559014941417916,0.10588225393193684,232.0
scale_free,0.7,1.0,1,spf-reconverge,110.5,0.07024528859621815,0.05731633001356837,232.0
scale_free,0.7,1.0,1,spf-static,32.0,0.20282380400551747,0.2175210974488103,232.0
scale_free,0.7,1.0,3,cspf,98.0,0.11351618775474705,0.11157248084638269,232.0
scale_free,0.7,1.0,3,ecmp,93.0,0.12620637042951807,0.12819796810247025,232.0
scale_free,0.7,1.0,3,orbit,93.0,0.1265468743450235,0.155957068010122,232.0
scale_free,0.7,1.0,3,spf-reconverge,105.0,0.10758054161860214,0.10452360214196835,232.0
scale_free,0.7,1.0,3,spf-static,32.0,0.20750239584068697,0.22716954316751115,232.0
scale_free,0.7,1.0,5,cspf,97.0,0.13043649831027465,0.14203135495139016,232.0
scale_free,0.7,1.0,5,ecmp,93.5,0.14958778343486256,0.1678142579550327,232.0
scale_free,0.7,1.0,5,orbit,91.5,0.14458509670138336,0.19308649701142663,232.0
