scenario,algorithm,n,pdr_critical_median,pdr_critical_iqr,pdr_critical_n,pdr_median,pdr_iqr,pdr_n,throughput_mbps_median,throughput_mbps_iqr,throughput_mbps_n,time_to_restore_critical_s_median,time_to_restore_critical_s_iqr,time_to_restore_critical_s_n,control_seconds_median,control_seconds_iqr,control_seconds_n,p95_latency_ms_median,p95_latency_ms_iqr,p95_latency_ms_n
waxman-n100-load0.7-random_node_30-centralised-deg4.0,ecmp,30,0.45749958809573177,0.13214580204582288,30,0.26863687062875913,0.047737074556988696,30,2156.6441063899424,374.0000465403382,30,,,0,1.0568714999972144,0.12623729999177158,30,151.9924913483677,50.06540833316694,30
waxman-n100-load0.7-random_node_30-centralised-deg4.0,orbit,30,0.4870321569448747,0.11982076157923405,30,0.33888246617128154,0.07561261798678226,30,2776.8759762355994,471.5968609595843,30,,,0,0.8976182500045979,0.09402730000874726,30,132.14166674591766,49.071183605238815,30
waxman-n100-load0.7-random_node_30-centralised-deg4.0,spf-reconverge,30,0.45749958809573177,0.13214580204582288,30,0.26863687062875913,0.047737074556988696,30,2156.6441063899424,374.0000465403382,30,,,0,0.21999685000628233,0.026846849992580246,30,151.9924913483677,50.06540833316694,30
waxman-n100-load0.7-random_node_30-centralised-deg4.0,spf-static,30,0.27720028798823426,0.09094273093538835,30,0.197094442442011,0.05080616584381947,30,1589.5508164044018,488.5780343376605,30,,,0,0.15413350000744686,0.015400900010718033,30,101.65674702588868,49.434769810037366,30
waxman-n250-load0.7-critical_link-centralised-deg4.0,cspf,30,0.9818338583591957,0.028505002732729934,30,0.7268286899738565,0.050192430411850286,30,11983.80241607904,1080.3299555977592,30,0.0,0.0,29,6.565165199994226,0.1986716249884921,30,152.68262348109118,1.0538960745775512,30
waxman-n250-load0.7-critical_link-centralised-deg4.0,ecmp,30,0.8960046256991845,0.06486669807672829,30,0.4702091122465909,0.03611825667810903,30,7839.395923716206,814.0254108527515,30,0.0,0.0,30,8.92612009998993,0.5359520999918459,30,152.9979703576061,49.06368832477034,30
waxman-n250-load0.7-critical_link-centralised-deg4.0,orbit,30,0.9955973137492824,0.023653260868613857,30,0.7055012778926457,0.06283298180416463,30,11899.737191168442,1043.0952216548976,30,0.0,0.0,30,5.047415599998203,0.5055202249786817,30,152.348585798812,1.6090624920294374,30
waxman-n250-load0.7-critical_link-centralised-deg4.0,spf-reconverge,30,0.8960046256991845,0.06486669807672829,30,0.4702091122465909,0.03611825667810903,30,7839.395923716206,814.0254108527515,30,0.0,0.0,30,1.9551943000114989,0.13780294999014586,30,152.9979703576061,49.06368832477034,30
waxman-n250-load0.7-critical_link-centralised-deg4.0,spf-static,30,0.8822460301723221,0.04866627699415993,30,0.4692858872371948,0.033566583792212834,30,7829.570788196317,887.1556374643387,30,0.0,0.0,30,0.9831649500265485,0.061884700022346806,30,152.54373560900103,48.993195955038146,30
waxman-n250-load0.7-random_node_30-centralised-deg4.0,cspf,30,0.4702272535974183,0.05483923210395719,30,0.3571527901339463,0.03734477811584003,30,5708.563073599739,735.2481222911028,30,,,0,4.951848200013046,0.3117272500094259,30,152.74002566748788,1.7226760339997895,30
waxman-n250-load0.7-random_node_30-centralised-deg4.0,ecmp,30,0.44445275969152076,0.06199975566347504,30,0.24557670733475137,0.022259656004722517,30,3943.108162517481,576.9601370946284,30,,,0,6.311165699982666,0.5077907500017318,30,177.2629475242843,49.282488736098685,30
waxman-n250-load0.7-random_node_30-centralised-deg4.0,orbit,30,0.47227598127428605,0.050168059664618625,30,0.35706420590911336,0.04424850677786529,30,5682.258429049907,782.5059144339284,30,,,0,5.240614100024686,0.33784234998893226,30,153.23576862187264,36.545254503285534,30
waxman-n250-load0.7-random_node_30-centralised-deg4.0,spf-reconverge,30,0.44445275969152076,0.06199975566347504,30,0.24557670733475137,0.022259656004722517,30,3943.108162517481,576.9601370946284,30,,,0,1.4044317999941995,0.1431299250034499,30,177.2629475242843,49.282488736098685,30
waxman-n250-load0.7-random_node_30-centralised-deg4.0,spf-static,30,0.23098971659532286,0.05507582138807984,30,0.15874568000272363,0.026838844441700177,30,2550.044068481965,696.4234249264236,30,,,0,1.02446765001514,0.09022025000740541,30,151.02620354372746,47.28779765373997,30
waxman-n50-load0.7-critical_link-centralised-deg4.0,cspf,30,0.9984198147899509,0.022357140036138867,30,0.8037654160027836,0.04910170115036916,30,3800.8916368368727,554.0140231197079,30,0.0,0.0,29,0.3213116499973694,0.29569549996813294,30,102.39174831487409,1.1182589341287752,30
waxman-n50-load0.7-critical_link-centralised-deg4.0,ecmp,30,0.9656529670317582,0.05015438223753177,30,0.5867955264627338,0.06585233305396387,30,2920.4042384783556,357.11472027799255,30,0.2,0.2,29,0.41719095000007655,0.3933597749637556,30,150.96038756676836,49.52745606586697,30
waxman-n50-load0.7-critical_link-centralised-deg4.0,orbit,30,0.9993324581390921,0.00041311263026211353,30,0.7897842074105726,0.04123792165421625,30,3752.240150153436,440.15186609546527,30,0.0,0.2,29,0.2732541499863146,0.19278857499739388,30,102.48117830494931,2.1969201919874735,30
waxman-n50-load0.7-critical_link-centralised-deg4.0,spf-reconverge,30,0.9656529670317582,0.05015438223753177,30,0.5867955264627338,0.06585233305396387,30,2920.4042384783556,357.11472027799255,30,0.2,0.2,29,0.0660094500053674,0.061807225029042456,30,150.96038756676836,49.52745606586697,30
waxman-n50-load0.7-critical_link-centralised-deg4.0,spf-static,30,0.9250560191851067,0.10386909893505669,30,0.5724046595411119,0.06840363820995599,30,2846.5666368356165,353.8749043589719,30,0.0,0.0,13,0.027442649996373802,0.03010677497513825,30,150.85262981694444,49.511148406242086,30
waxman-n50-load0.7-random_node_30-centralised-deg4.0,cspf,30,0.5037232262500437,0.14194122170043405,30,0.3810568150982412,0.08688780734230306,30,1865.5144318021817,565.3162427495799,30,,,0,0.31593335000798106,0.02887564999400638,30,103.42931134830266,49.90515801329484,30
waxman-n50-load0.7-random_node_30-centralised-deg4.0,ecmp,30,0.5091662667144816,0.13039497964568963,30,0.3021453156545104,0.05058539692093872,30,1518.6624196910166,405.22803731616864,30,,,0,0.39002709997294005,0.06513624999934109,30,151.0790552717777,28.735757372765505,30
waxman-n50-load0.7-random_node_30-centralised-deg4.0,orbit,30,0.5124802087291013,0.14565871374967804,30,0.37810073478450856,0.0763551986998745,30,1823.319023697604,584.8274199121979,30,,,0,0.3394420499826083,0.03678572500211885,30,102.58394159004425,13.538151404306035,30
