family,offered_load,threshold,dwell,algorithm,static_median,other_median,median_difference,p_value,cliffs_delta,static_lower,n_pairs,p_holm,effect,significant
scale_free,0.7,0.9,20,cspf,38.5,115.0,76.0,1.7094495621956692e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.9,20,orbit,38.5,113.5,73.0,1.7245993818153558e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.9,40,spf-reconverge,35.5,94.0,57.5,1.7105279932400777e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.9,40,ecmp,35.5,89.5,54.0,1.7202594665136766e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.9,40,cspf,35.5,89.0,52.0,1.7008425382861862e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.9,40,orbit,35.5,98.0,60.5,1.7191759138770554e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.95,1,spf-reconverge,35.0,117.0,80.5,1.7029908934686465e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.95,1,ecmp,35.0,107.0,74.0,1.7224282827430733e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.95,1,cspf,35.0,105.5,69.5,1.707294403549849e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.95,1,orbit,35.0,102.5,67.5,1.7159286750586906e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.95,3,spf-reconverge,35.0,117.0,80.5,1.7029908934686465e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.95,3,ecmp,35.0,100.0,64.0,1.7191759138770554e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.95,3,cspf,35.0,105.5,69.5,1.707294403549849e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.95,3,orbit,35.0,102.5,67.5,1.714847401033251e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.95,5,spf-reconverge,35.0,117.0,80.5,1.7029908934686465e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.95,5,ecmp,35.0,101.5,64.5,1.7213435893906393e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.95,5,cspf,35.0,105.0,69.5,1.6912029309011076e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.95,5,orbit,35.0,102.5,67.5,1.7159286750586906e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.95,10,spf-reconverge,35.0,118.0,82.5,1.7137666960733877e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.95,10,ecmp,35.0,100.5,64.0,1.7180929312456739e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.95,10,cspf,35.0,103.5,69.0,1.712686559944352e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.95,10,orbit,35.0,100.0,65.0,1.7083716990437344e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.95,20,spf-reconverge,35.0,117.0,82.0,1.711606992411454e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.95,20,ecmp,35.0,101.5,64.0,1.712686559944352e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.95,20,cspf,35.0,104.0,70.0,1.707294403549849e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.95,20,orbit,35.0,100.5,65.0,1.6997692098403253e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.95,40,spf-reconverge,32.0,87.0,54.0,1.7029908934686465e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.95,40,ecmp,32.0,82.5,50.5,1.7213435893906393e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.95,40,cspf,32.0,77.0,43.5,1.7235135468062213e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.95,40,orbit,32.0,84.0,53.0,1.707294403549849e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.98,1,spf-reconverge,34.0,112.5,77.0,1.7213435893906393e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.98,1,ecmp,34.0,102.0,67.5,1.7062176754796548e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.98,1,cspf,34.0,101.0,67.5,1.7159286750586906e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.98,1,orbit,34.0,96.0,60.5,1.712686559944352e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.98,3,spf-reconverge,34.0,112.5,77.0,1.7213435893906393e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.98,3,ecmp,34.0,98.0,62.0,1.7202594665136766e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.98,3,cspf,34.0,101.0,67.5,1.7159286750586906e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.98,3,orbit,34.0,96.0,60.5,1.712686559944352e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.98,5,spf-reconverge,34.0,112.5,77.0,1.7213435893906393e-06,1.0,True,30,0.0011285583997060354,large,True
scale_free,0.7,0.98,5,ecmp,34.0,96.0,62.5,1.7170105183845441e-06,1.0,True,30,0.0011285583997060354,large,True
