experiment,scenario,family,nodes,offered_load,failure,control_mode,algorithm,trial,seed,pdr,pdr_critical,pdr_high,pdr_normal,pdr_low,throughput_mbps,mean_latency_ms,p95_latency_ms,time_to_restore_critical_s,time_to_restore_overall_s,censored,reroutes,preemptions,cascade_depth,cascade_threshold,cascade_dwell_ticks,cascade_saturated,total_links,time_to_converge_s,peak_restore_critical,optimality_gap,control_seconds,control_calls,blackholed_flow_ticks,wall_clock_s
a10-scale,scale_free-n500-load0.7-critical_link-centralised-deg4.0,scale_free,500,0.7,critical_link,CENTRALISED,cspf,21,1365184388319618115,0.7156356981724302,0.9866001929360978,0.8868201927299006,0.6627345168766416,0.45526014207189097,27304.178719682564,69.24094628906141,156.09707025745212,0.0,0.0,False,548,0,0,0.98,3,False,1992,0.30000000000000004,1.0,,10.269641899998533,2,10,139.64166779999505
a10-scale,scale_free-n500-load0.7-critical_link-centralised-deg4.0,scale_free,500,0.7,critical_link,CENTRALISED,ecmp,21,1365184388319618115,0.5158954856219135,0.9619840732715557,0.653859906605238,0.406779096206102,0.2622900896027821,19683.342482873388,49.897808904303965,112.61758230086437,0.0,0.0,False,60,0,0,0.98,3,False,1992,0.30000000000000004,0.9966315883184251,,14.278438500012271,2,8,139.85913140000775
a10-scale,scale_free-n500-load0.7-critical_link-centralised-deg4.0,scale_free,500,0.7,critical_link,CENTRALISED,orbit,21,1365184388319618115,0.7137515319589935,0.9999181035700787,0.9999745740776005,0.7763979495451975,0.166387921795003,27232.290730918667,60.74561434969315,154.0535238422978,0.0,0.0,False,1285,0,0,0.98,3,False,1992,0.30000000000000004,1.0,,7.109099499997683,2,14,162.51686000000336
a10-scale,scale_free-n500-load0.7-critical_link-centralised-deg4.0,scale_free,500,0.7,critical_link,CENTRALISED,spf-reconverge,21,1365184388319618115,0.42922504636335784,0.8154708267271485,0.4770142854976173,0.37953177387605425,0.2183732859029895,16376.541034493428,46.875533516099374,106.10656942656766,0.0,0.0,False,43,0,0,0.98,3,False,1992,0.30000000000000004,0.9933904609869161,,2.5261064000078477,2,86,39.33174190000864
a10-scale,scale_free-n500-load0.7-critical_link-centralised-deg4.0,scale_free,500,0.7,critical_link,CENTRALISED,spf-static,21,1365184388319618115,0.42609782551086783,0.807476818985231,0.47020141604000937,0.3783783760897391,0.21909376115164936,16257.225861605377,46.166936999862465,106.10731568493101,0.0,0.0,False,0,0,0,0.98,3,False,1992,0.0,0.9819702007219171,,1.2425752999843098,2,5590,37.54754239998874
a10-scale,scale_free-n500-load0.7-critical_link-centralised-deg4.0,scale_free,500,0.7,critical_link,CENTRALISED,cspf,22,10392121649861648639,0.7262481844063882,0.9927194890710463,0.8944001017501076,0.6635263059682697,0.48534833221843543,27055.200872840433,66.32591233176586,155.08794802920815,0.0,0.0,False,611,0,0,0.98,3,False,1992,0.30000000000000004,1.0070774599166474,,10.245890099991811,2,8,143.1327372000087
a10-scale,scale_free-n500-load0.7-critical_link-centralised-deg4.0,scale_free,500,0.7,critical_link,CENTRALISED,ecmp,22,10392121649861648639,0.5494100030119827,0.9662789047249118,0.7156517445285078,0.4220693127739705,0.31093874449671105,20467.38058999313,51.492170129486844,110.99064805182311,0.0,0.0,False,57,0,0,0.98,3,False,1992,0.30000000000000004,1.0005724072826871,,13.828204799996456,2,6,153.37347280001268
a10-scale,scale_free-n500-load0.7-critical_link-centralised-deg4.0,scale_free,500,0.7,critical_link,CENTRALISED,orbit,22,10392121649861648639,0.733608349212566,0.9999096297770662,0.9983043678893614,0.8167135645046889,0.19276943381220016,27329.391902248808,54.02476935700192,109.72856071077027,0.0,0.0,False,1253,0,0,0.98,3,False,1992,0.30000000000000004,1.0,,6.9232464999950025,2,8,172.395457000006
a10-scale,scale_free-n500-load0.7-critical_link-centralised-deg4.0,scale_free,500,0.7,critical_link,CENTRALISED,spf-reconverge,22,10392121649861648639,0.45842912211901143,0.8952394422931624,0.5503375017505557,0.3471097508778136,0.2609852802019162,17078.035100394056,50.63913176766156,153.0,0.0,0.0,False,39,0,0,0.98,3,False,1992,0.30000000000000004,1.0188504447731468,,2.5776974999753293,2,78,44.57353009999497
a10-scale,scale_free-n500-load0.7-critical_link-centralised-deg4.0,scale_free,500,0.7,critical_link,CENTRALISED,spf-static,22,10392121649861648639,0.4563894877245051,0.8730092221075333,0.5523260742672793,0.3464806149697314,0.2648959583323786,17002.051821626028,50.58160421958952,106.07801013191238,0.0,0.0,False,0,0,0,0.98,3,False,1992,0.0,0.989286993438394,,1.2958767999953125,2,5070,42.644314300006954
a10-scale,scale_free-n500-load0.7-critical_link-centralised-deg4.0,scale_free,500,0.7,critical_link,CENTRALISED,cspf,23,4572706767740256584,0.7341618511962132,0.9975102929844473,0.9076501793719738,0.6945526274639877,0.46232051837449445,27454.36601046643,70.32672887917529,156.10864392216635,0.0,0.0,False,535,0,0,0.98,3,False,1992,0.30000000000000004,1.0103724064621686,,10.578029500000412,2,10,149.21653589999187
a10-scale,scale_free-n500-load0.7-critical_link-centralised-deg4.0,scale_free,500,0.7,critical_link,CENTRALISED,ecmp,23,4572706767740256584,0.5678893334881614,0.9785778448964629,0.7712475132421326,0.42903352528702926,0.3189151046113801,21236.518336686127,51.52476207925715,106.73599095948009,0.0,0.0,False,37,0,0,0.98,3,False,1992,0.30000000000000004,1.0000000000000002,,14.390742299990961,2,12,160.54895170000964
a10-scale,scale_free-n500-load0.7-critical_link-centralised-deg4.0,scale_free,500,0.7,critical_link,CENTRALISED,orbit,23,4572706767740256584,0.7243418113020136,0.9998956726555517,0.9970606007656938,0.8053898588024855,0.1772177931350643,27087.14048784705,57.368982387484905,153.0,0.0,0.0,False,1259,0,0,0.98,3,False,1992,0.30000000000000004,1.0,,7.160997899976792,2,6,168.6982197999896
a10-scale,scale_free-n500-load0.7-critical_link-centralised-deg4.0,scale_free,500,0.7,critical_link,CENTRALISED,spf-reconverge,23,4572706767740256584,0.4855247911822844,0.9148244281492574,0.6265949800680373,0.3549749020202353,0.27500547037655454,18156.45324332057,50.49932935638523,154.01242155498966,0.0,0.0,False,33,0,0,0.98,3,False,1992,0.30000000000000004,1.0085292501594836,,2.506733600021107,2,66,48.63122399998247
a10-scale,scale_free-n500-load0.7-critical_link-centralised-deg4.0,scale_free,500,0.7,critical_link,CENTRALISED,spf-static,23,4572706767740256584,0.48294986273050383,0.8929387547072607,0.6341422183523626,0.3563446990998288,0.2684196835278313,18060.16244851727,51.4282470053334,154.01693733900487,0.0,0.0,False,0,0,0,0.98,3,False,1992,0.0,0.9802973801152753,,1.2885230999963824,2,4290,47.4980773999996
a10-scale,scale_free-n500-load0.7-critical_link-centralised-deg4.0,scale_free,500,0.7,critical_link,CENTRALISED,cspf,24,11821904427547105392,0.7520965453936895,0.9959708002239516,0.9166754543461969,0.7212800752232948,0.48415413453639744,26906.657403101286,67.7099033630994,155.18749343895718,0.0,0.0,False,534,0,0,0.98,3,False,1992,0.30000000000000004,0.9978410174525033,,11.054284900019411,2,18,152.42867220001062
