experiment,scenario,family,nodes,offered_load,failure,algorithm,trial,seed,flows,live_links,bound,achieved,optimality_gap
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,18,15628877752884625996,24,23,124038.5828340575,123386.90133405438,0.005253861218931899
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,19,658528507376976972,24,23,102316.48281520388,102316.48281520393,0.0
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,19,658528507376976972,24,23,102316.48281520388,102313.04124498036,3.363651807442025e-05
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,19,658528507376976972,24,23,102316.48281520388,102316.48281520393,0.0
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,19,658528507376976972,24,23,102316.48281520388,102057.47014159069,0.0025314853138668214
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,19,658528507376976972,24,23,102316.48281520388,102057.47014159069,0.0025314853138668214
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,20,4025604696545981604,24,23,118178.79787017354,118178.79787017356,0.0
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,20,4025604696545981604,24,23,118178.79787017354,118151.80583989077,0.00022839993949186344
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,20,4025604696545981604,24,23,118178.79787017354,118178.79787017356,0.0
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,20,4025604696545981604,24,23,118178.79787017354,118070.44223647055,0.0009168787942996914
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,20,4025604696545981604,24,23,118178.79787017354,118070.44223647055,0.0009168787942996914
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,21,13841738909755871577,24,23,118896.32549842034,118857.08203546377,0.00033006455659634337
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,21,13841738909755871577,24,23,118896.32549842034,118833.28887909533,0.0005301813917356624
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,21,13841738909755871577,24,23,118896.32549842034,118799.22507343392,0.0008166814624368524
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,21,13841738909755871577,24,23,118896.32549842034,118303.45443345526,0.004986454059700551
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,21,13841738909755871577,24,23,118896.32549842034,118303.45443345526,0.004986454059700551
