experiment,scenario,family,nodes,offered_load,failure,control_mode,algorithm,trial,seed,pdr,pdr_critical,pdr_high,pdr_normal,pdr_low,throughput_mbps,mean_latency_ms,p95_latency_ms,time_to_restore_critical_s,time_to_restore_overall_s,censored,reroutes,preemptions,backup_activations,cascade_depth,cascade_threshold,cascade_dwell_ticks,cascade_saturated,total_links,time_to_converge_s,peak_restore_critical,optimality_gap,control_seconds,control_calls,blackholed_flow_ticks,wall_clock_s
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,orbit-no-preemption,3,11286498840757103585,0.3528699564593442,0.8755432325348826,0.49998238646191007,0.22336390851822163,0.08997209967355421,4653.174730352546,104.34950882158023,301.25294096062333,0.0,0.2,True,203,0,0,0,0.98,3,False,248,0.30000000000000004,0.9999999999999999,,0.15840250000474043,2,4,1.460988400009228
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,orbit-no-protection,3,11286498840757103585,0.35035965799666324,0.8755432325348826,0.5009183695469379,0.20522549013512542,0.10353983659668213,4620.072288055122,105.10821466068371,301.25294096062333,0.0,0.2,True,205,4,0,0,0.98,3,False,248,0.30000000000000004,0.9999999999999999,,0.22556609997991472,2,4,1.5190169000125024
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,orbit-restoration-only,3,11286498840757103585,0.3528699564593442,0.8755432325348826,0.49998238646191007,0.22336390851822163,0.08997209967355421,4653.174730352546,104.34950882158023,301.25294096062333,0.0,0.2,True,203,0,0,0,0.98,3,False,248,0.30000000000000004,0.9999999999999999,,0.12297970001236536,2,4,1.4081915999995545
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,cspf,4,14545533581045739322,0.39951890818615476,0.8522888038235185,0.47274543420897563,0.3092829502391271,0.19846830231631984,5296.692684813336,98.53395677911159,251.37396706629931,0.0,0.0,True,8,0,0,0,0.98,3,False,268,0.30000000000000004,1.0,,0.16848469999968074,2,4,1.4963562000193633
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,orbit,4,14545533581045739322,0.4108757310703407,0.930401074094556,0.5829180289308832,0.257683493055639,0.16038059446312955,5447.257775628413,88.57006629457344,251.76236018153878,0.2,0.2,True,198,0,0,0,0.98,3,False,268,0.30000000000000004,0.9741970978552801,,0.21488159999717027,2,2,1.6158705000125337
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,orbit-no-damping,4,14545533581045739322,0.4108757310703407,0.930401074094556,0.5829180289308832,0.257683493055639,0.16038059446312955,5447.257775628413,88.57006629457344,251.76236018153878,0.2,0.2,True,198,0,0,0,0.98,3,False,268,0.30000000000000004,0.9741970978552801,,0.21010379999643192,2,2,1.6143714000063483
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,orbit-no-preemption,4,14545533581045739322,0.4108757310703407,0.930401074094556,0.5829180289308832,0.257683493055639,0.16038059446312955,5447.257775628413,88.57006629457344,251.76236018153878,0.2,0.2,True,198,0,0,0,0.98,3,False,268,0.30000000000000004,0.9741970978552801,,0.15935020003234968,2,2,1.5518867000064347
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,orbit-no-protection,4,14545533581045739322,0.4108757310703407,0.930401074094556,0.5829180289308832,0.257683493055639,0.16038059446312955,5447.257775628413,88.57006629457344,251.76236018153878,0.2,0.2,True,198,0,0,0,0.98,3,False,268,0.30000000000000004,0.9741970978552801,,0.21900229997118004,2,2,1.653745899995556
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,orbit-restoration-only,4,14545533581045739322,0.4108757310703407,0.930401074094556,0.5829180289308832,0.257683493055639,0.16038059446312955,5447.257775628413,88.57006629457344,251.76236018153878,0.2,0.2,True,198,0,0,0,0.98,3,False,268,0.30000000000000004,0.9741970978552801,,0.15548879996640608,2,2,1.5925011000072118
a11-mechanisms,waxman-n60-load1.5-critical_link-centralised,waxman,60,1.5,critical_link,CENTRALISED,cspf,5,1861929761165333472,0.39298877147371813,0.646692070243424,0.4716553378355742,0.34002040418427604,0.21931910323900336,6090.2339459524765,111.64884906747483,201.93631085800132,0.0,0.0,True,52,0,0,0,0.98,3,False,292,0.30000000000000004,0.9999999999999999,,0.17350610002176836,2,2,1.1406827000027988
